W0629 17:35:44.535000 39575 torch/distributed/run.py:851] 
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] *****************************************
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] *****************************************
============================================================
EXPERIMENT 1: Convergence study — 1024x1024
============================================================

Grid: 1024x1024 | Steps: 500 | Slab: 1024x256
------------------------------------------------------------
Step  340/1000 | Max Temp: 287.8 K | Convergence: 2.26e-02 | Comm: 0.37ms | Overhead: 44.0%
Step  350/1000 | Max Temp: 287.8 K | Convergence: 2.19e-02 | Comm: 0.37ms | Overhead: 43.7%
Step  360/1000 | Max Temp: 287.8 K | Convergence: 2.13e-02 | Comm: 0.37ms | Overhead: 43.8%
Step  370/1000 | Max Temp: 287.8 K | Convergence: 2.08e-02 | Comm: 0.37ms | Overhead: 43.8%
Step  380/1000 | Max Temp: 287.8 K | Convergence: 2.02e-02 | Comm: 0.37ms | Overhead: 43.8%
Step  390/1000 | Max Temp: 287.8 K | Convergence: 1.97e-02 | Comm: 0.37ms | Overhead: 43.8%
Step  400/1000 | Max Temp: 287.8 K | Convergence: 1.92e-02 | Comm: 0.37ms | Overhead: 43.8%
Step  410/1000 | Max Temp: 287.8 K | Convergence: 1.88e-02 | Comm: 0.37ms | Overhead: 43.8%
Step  420/1000 | Max Temp: 287.8 K | Convergence: 1.83e-02 | Comm: 0.37ms | Overhead: 43.8%
Step  430/1000 | Max Temp: 287.8 K | Convergence: 1.79e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  440/1000 | Max Temp: 287.8 K | Convergence: 1.75e-02 | Comm: 0.37ms | Overhead: 43.7%
Step  450/1000 | Max Temp: 287.8 K | Convergence: 1.71e-02 | Comm: 0.37ms | Overhead: 43.7%
Step  460/1000 | Max Temp: 287.8 K | Convergence: 1.67e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  470/1000 | Max Temp: 287.8 K | Convergence: 1.64e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  480/1000 | Max Temp: 287.8 K | Convergence: 1.60e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  490/1000 | Max Temp: 287.8 K | Convergence: 1.57e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  500/1000 | Max Temp: 287.8 K | Convergence: 1.54e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  510/1000 | Max Temp: 287.8 K | Convergence: 1.51e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  520/1000 | Max Temp: 287.8 K | Convergence: 1.48e-02 | Comm: 0.37ms | Overhead: 44.1%
Step  530/1000 | Max Temp: 287.8 K | Convergence: 1.45e-02 | Comm: 0.37ms | Overhead: 44.1%
Step  540/1000 | Max Temp: 287.8 K | Convergence: 1.43e-02 | Comm: 0.37ms | Overhead: 44.1%
Step  550/1000 | Max Temp: 287.8 K | Convergence: 1.40e-02 | Comm: 0.37ms | Overhead: 44.0%
Step  560/1000 | Max Temp: 287.7 K | Convergence: 1.37e-02 | Comm: 0.37ms | Overhead: 44.0%
Step  570/1000 | Max Temp: 287.7 K | Convergence: 1.35e-02 | Comm: 0.37ms | Overhead: 44.0%
Step  580/1000 | Max Temp: 287.7 K | Convergence: 1.33e-02 | Comm: 0.37ms | Overhead: 44.1%
Step  590/1000 | Max Temp: 287.7 K | Convergence: 1.31e-02 | Comm: 0.37ms | Overhead: 44.1%
Step  600/1000 | Max Temp: 287.7 K | Convergence: 1.28e-02 | Comm: 0.37ms | Overhead: 44.1%
Step  610/1000 | Max Temp: 287.7 K | Convergence: 1.26e-02 | Comm: 0.37ms | Overhead: 44.1%
Step  620/1000 | Max Temp: 287.7 K | Convergence: 1.24e-02 | Comm: 0.37ms | Overhead: 44.1%
Step  630/1000 | Max Temp: 287.7 K | Convergence: 1.22e-02 | Comm: 0.37ms | Overhead: 44.1%
Step  640/1000 | Max Temp: 287.7 K | Convergence: 1.20e-02 | Comm: 0.37ms | Overhead: 44.0%
Step  650/1000 | Max Temp: 287.7 K | Convergence: 1.18e-02 | Comm: 0.37ms | Overhead: 44.0%
Step  660/1000 | Max Temp: 287.7 K | Convergence: 1.17e-02 | Comm: 0.37ms | Overhead: 44.0%
Step  670/1000 | Max Temp: 287.7 K | Convergence: 1.15e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  680/1000 | Max Temp: 287.7 K | Convergence: 1.13e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  690/1000 | Max Temp: 287.7 K | Convergence: 1.12e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  700/1000 | Max Temp: 287.7 K | Convergence: 1.10e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  710/1000 | Max Temp: 287.7 K | Convergence: 1.09e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  720/1000 | Max Temp: 287.7 K | Convergence: 1.07e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  730/1000 | Max Temp: 287.7 K | Convergence: 1.06e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  740/1000 | Max Temp: 287.7 K | Convergence: 1.04e-02 | Comm: 0.37ms | Overhead: 43.9%
Step  750/1000 | Max Temp: 287.7 K | Convergence: 1.03e-02 | Comm: 0.37ms | Overhead: 43.8%
Step  760/1000 | Max Temp: 287.7 K | Convergence: 1.01e-02 | Comm: 0.37ms | Overhead: 43.8%
Step  770/1000 | Max Temp: 287.7 K | Convergence: 1.00e-02 | Comm: 0.37ms | Overhead: 43.8%
Step  780/1000 | Max Temp: 287.7 K | Convergence: 9.89e-03 | Comm: 0.37ms | Overhead: 43.7%
Step  790/1000 | Max Temp: 287.7 K | Convergence: 9.77e-03 | Comm: 0.37ms | Overhead: 43.7%
